[2025-03-11 19:07:27,851] INFO - Auth routes module initialized
[2025-03-11 19:08:55,355] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 19:08:55,355] INFO - Route called: POST /auth/request  200
[2025-03-11 19:08:56,997] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 19:08:57,016] INFO - Route called: POST /auth/verify  200
[2025-03-11 22:42:59,859] INFO - Auth routes module initialized
[2025-03-11 22:43:43,659] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:43:43,660] INFO - Route called: POST /auth/request  200
[2025-03-11 22:43:57,189] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:43:57,191] INFO - Route called: POST /auth/request  200
[2025-03-11 22:43:59,280] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:43:59,303] INFO - Route called: POST /auth/verify  200
[2025-03-11 22:45:15,574] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:15,574] INFO - Route called: POST /auth/request  200
[2025-03-11 22:45:17,025] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:17,025] INFO - Route called: POST /auth/request  200
[2025-03-11 22:45:17,721] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:17,723] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-11 22:45:17,723] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-11 22:45:18,372] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:18,383] INFO - Route called: POST /auth/verify  200
[2025-03-11 22:45:23,392] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:23,394] INFO - Route called: POST /auth/request  200
[2025-03-11 22:45:24,826] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:24,827] INFO - Route called: POST /auth/request  200
[2025-03-11 22:45:25,271] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:25,271] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-11 22:45:25,271] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-11 22:45:25,769] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:25,778] INFO - Route called: POST /auth/verify  200
[2025-03-11 22:45:30,210] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:30,210] INFO - Route called: POST /auth/request  200
[2025-03-11 22:45:31,597] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:45:31,607] INFO - Route called: POST /auth/verify  200
[2025-03-11 22:53:08,188] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:53:08,188] INFO - Route called: POST /auth/request  200
[2025-03-11 22:53:10,039] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:53:10,040] INFO - Route called: POST /auth/request  200
[2025-03-11 22:53:10,701] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 22:53:10,703] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
